technique,scenario,mean_cost,std_cost,mean_service_level,mean_holding,mean_stockout,mean_ordering,mean_discarding
PPO,random,85214.0,14782.779640138348,0.9919090504392483,51582.0,15680.0,17952.0,0.0
PPO,seasonal,83162.5,7437.313396351908,0.9935427482619174,52930.5,12120.0,18112.0,0.0
PPO,shock,84740.25,10302.04607846314,0.9915768454891929,51296.25,15520.0,17924.0,0.0
PPO,stationary,82806.25,8381.491203340052,0.9926984598756633,51516.25,13470.0,17820.0,0.0
PPO,trend,79273.0,6775.99836842431,0.9951375373833077,51723.0,9650.0,17900.0,0.0
Double DQN (dueling),random,111582.25,15834.922060643894,0.9797072705603336,60166.25,37375.0,14041.0,0.0
Double DQN (dueling),seasonal,111609.9375,13001.421772443498,0.9801768710811778,61116.4375,36462.5,14031.0,0.0
Double DQN (dueling),shock,116039.25,17324.44232831693,0.9777838978178325,61361.75,40637.5,14040.0,0.0
Double DQN (dueling),stationary,107251.9375,10846.535256907013,0.9828928316906772,60475.9375,32605.0,14171.0,0.0
Double DQN (dueling),trend,109599.3125,15952.490380970865,0.981137485137522,61198.3125,34460.0,13941.0,0.0
